school,srs,sos,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga,year,rec,arec
Abilene Christian,-19.6,-4.12,71.41935483870968,71.87096774193549,40.483870967741936,53.67741935483871,0.44299999999999995,19.322580645161292,0.402,21.483870967741936,0.7490000000000001,9.870967741935484,32.61290322580645,12.96774193548387,7.129032258064516,2.3225806451612905,14.612903225806452,20.677419354838708,40.483870967741936,52.903225806451616,0.46299999999999997,16.903225806451612,0.345,24.096774193548388,0.708,9.838709677419354,32.38709677419355,13.129032258064516,6.612903225806452,4.129032258064516,13.903225806451612,18.580645161290324,67.7,104.2,0.4,0.36,0.5589999999999999,50.2,54.5,10.4,6.5,0.515,18.6,30.4,0.3,67.7,104.9,0.455,0.32,0.5579999999999999,49.8,53.6,9.7,12.0,0.518,17.8,30.2,0.32299999999999995,2014,0.3548387096774194,0.0
Air Force,-4.08,1.71,66.0,69.13333333333334,40.333333333333336,52.03333333333333,0.435,21.766666666666666,0.331,19.6,0.69,8.766666666666667,32.333333333333336,13.966666666666667,5.466666666666667,3.1333333333333333,13.333333333333334,18.766666666666666,40.333333333333336,53.166666666666664,0.433,21.566666666666666,0.32799999999999996,22.9,0.7020000000000001,9.833333333333334,33.86666666666667,13.466666666666667,6.933333333333334,4.266666666666667,11.8,18.633333333333333,65.4,100.1,0.377,0.418,0.5379999999999999,48.8,61.7,8.3,9.9,0.504,17.9,26.7,0.26,65.4,104.8,0.431,0.406,0.54,51.2,58.6,10.5,14.1,0.499,15.6,29.4,0.302,2014,0.4,0.2727272727272727
Akron,1.16,-0.48,68.58823529411765,66.94117647058823,40.44117647058823,54.55882352941177,0.43799999999999994,20.294117647058822,0.34600000000000003,22.058823529411764,0.623,12.117647058823529,34.55882352941177,11.382352941176471,6.617647058823529,4.176470588235294,13.117647058823529,17.823529411764707,40.44117647058823,54.94117647058823,0.433,15.205882352941176,0.335,19.852941176470587,0.716,10.823529411764707,33.1764705882353,11.117647058823529,6.5588235294117645,3.1176470588235294,12.911764705882353,18.941176470588236,65.5,103.6,0.40399999999999997,0.37200000000000005,0.527,51.0,47.6,10.0,10.5,0.503,16.8,35.2,0.252,65.5,101.1,0.361,0.27699999999999997,0.52,49.0,46.7,9.9,9.1,0.479,16.7,32.5,0.259,2014,0.6176470588235294,0.42857142857142855
Alabama A&M,-13.86,-10.58,64.53333333333333,67.0,40.5,53.36666666666667,0.41,18.7,0.324,22.466666666666665,0.6559999999999999,10.0,33.833333333333336,12.666666666666666,6.233333333333333,4.166666666666667,13.2,21.433333333333334,40.5,52.833333333333336,0.405,15.066666666666666,0.327,27.7,0.696,12.433333333333334,38.03333333333333,9.7,6.566666666666666,3.1,13.766666666666667,19.6,66.5,95.9,0.42100000000000004,0.35,0.504,47.1,57.9,9.3,11.0,0.467,17.1,28.1,0.276,66.5,99.6,0.524,0.285,0.508,52.9,45.3,9.8,8.9,0.452,17.3,34.3,0.365,2014,0.4666666666666667,0.3125
Alabama-Birmingham,0.78,-0.77,73.09677419354838,70.3225806451613,40.483870967741936,61.903225806451616,0.41700000000000004,16.93548387096774,0.301,24.903225806451612,0.6579999999999999,16.387096774193548,44.54838709677419,12.64516129032258,5.451612903225806,4.129032258064516,13.0,17.516129032258064,40.483870967741936,62.16129032258065,0.413,20.580645161290324,0.313,18.741935483870968,0.6679999999999999,11.935483870967742,36.41935483870968,12.870967741935484,6.935483870967742,4.096774193548387,11.129032258064516,19.903225806451612,69.4,104.0,0.402,0.27399999999999997,0.496,55.0,49.0,7.8,9.9,0.45799999999999996,15.0,40.1,0.265,69.4,100.0,0.302,0.331,0.495,45.0,50.1,9.9,9.1,0.465,13.5,29.8,0.201,2014,0.5806451612903226,0.5
Alabama State,-12.84,-11.4,70.78125,69.53125,40.625,59.125,0.419,19.125,0.28600000000000003,23.375,0.6759999999999999,12.71875,36.1875,12.96875,6.78125,3.59375,11.78125,18.0625,40.625,55.59375,0.444,16.53125,0.314,21.625,0.695,11.71875,36.90625,11.96875,6.09375,3.15625,14.875,20.21875,68.1,102.3,0.395,0.32299999999999995,0.504,49.5,52.4,9.8,9.2,0.465,14.4,33.6,0.267,68.1,100.5,0.389,0.297,0.528,50.5,48.5,8.8,7.9,0.49,18.4,33.3,0.27,2014,0.59375,0.3333333333333333
Alabama,8.34,8.88,67.8125,67.1875,40.46875,52.15625,0.444,17.125,0.33399999999999996,23.03125,0.685,10.0,32.8125,10.96875,6.8125,4.28125,11.875,18.96875,40.46875,54.25,0.419,17.96875,0.308,21.8125,0.7440000000000001,12.0,34.90625,11.90625,5.59375,4.03125,12.8125,19.09375,64.4,104.0,0.442,0.32799999999999996,0.537,48.5,47.4,10.5,11.8,0.499,15.8,30.4,0.303,64.4,103.1,0.402,0.331,0.52,51.5,52.4,8.6,11.5,0.47,16.5,34.5,0.299,2014,0.40625,0.0
Albany (NY),-3.31,-5.22,65.8529411764706,63.94117647058823,40.44117647058823,50.970588235294116,0.441,13.323529411764707,0.36,21.41176470588235,0.75,10.088235294117647,34.55882352941177,11.058823529411764,5.411764705882353,2.9705882352941178,12.588235294117647,17.058823529411764,40.44117647058823,54.35294117647059,0.419,19.88235294117647,0.349,15.794117647058824,0.723,9.676470588235293,31.235294117647058,12.323529411764707,5.794117647058823,3.0294117647058822,11.676470588235293,19.0,63.0,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315,63.0,100.3,0.29100000000000004,0.366,0.517,47.5,54.1,9.1,8.0,0.483,15.9,28.3,0.21,2014,0.5757575757575758,0.4117647058823529
Alcorn State,-15.95,-9.27,64.03225806451613,67.7741935483871,40.806451612903224,53.483870967741936,0.418,14.483870967741936,0.303,22.838709677419356,0.654,9.741935483870968,30.93548387096774,9.129032258064516,5.967741935483871,3.7419354838709675,11.483870967741936,18.612903225806452,40.806451612903224,54.32258064516129,0.43,16.903225806451612,0.342,21.516129032258064,0.711,10.935483870967742,34.483870967741936,12.225806451612904,5.419354838709677,2.5483870967741935,12.580645161290322,17.483870967741936,64.8,96.8,0.42700000000000005,0.271,0.498,47.3,40.8,9.0,10.0,0.45899999999999996,15.1,29.3,0.27899999999999997,64.8,102.5,0.396,0.311,0.525,52.7,52.3,8.2,6.5,0.483,16.3,34.0,0.281,2014,0.3870967741935484,0.13333333333333333
American,0.69,-3.25,63.06060606060606,59.121212121212125,40.15151515151515,46.27272727272727,0.49,16.545454545454547,0.379,16.21212121212121,0.7070000000000001,7.03030303030303,29.87878787878788,14.909090909090908,6.0,3.3333333333333335,14.06060606060606,17.181818181818183,40.15151515151515,49.121212121212125,0.414,15.303030303030303,0.319,20.0,0.679,9.666666666666666,29.151515151515152,10.181818181818182,7.090909090909091,2.393939393939394,12.0,17.545454545454547,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.5579999999999999,20.7,26.5,0.248,60.7,97.0,0.40700000000000003,0.312,0.504,49.4,50.1,11.6,8.1,0.46399999999999997,17.0,29.7,0.276,2014,0.625,0.5294117647058824
