school,opp_mp,opp_fga,opp_fg_pct,opp_tpa,opp_tp_pct,opp_fta,opp_ft_pct,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_to,opp_pf
Abilene Christian,1180,1557,0.455,581,0.361,671,0.666,294,1017,393,178,88,427,502
Air Force,1335,1883,0.457,880,0.364,613,0.71,275,1135,514,199,113,407,684
Akron,1440,2058,0.444,683,0.365,673,0.706,347,1188,411,210,72,415,671
Alabama A&M,1175,1724,0.476,588,0.364,586,0.681,356,1055,410,199,100,268,532
Alabama-Birmingham,1330,1941,0.431,731,0.342,569,0.692,339,1080,420,219,100,381,593
Alabama State,1260,1799,0.444,572,0.343,755,0.679,363,1170,392,230,93,394,568
Alabama,1380,1848,0.405,628,0.333,738,0.671,329,1138,325,215,100,460,662
Albany (NY),1400,1873,0.431,809,0.341,578,0.708,262,1008,442,197,144,399,630
Alcorn State,1285,1838,0.418,592,0.306,707,0.648,370,1173,424,220,82,418,555
American,1205,1528,0.469,468,0.368,632,0.704,258,996,384,198,84,397,493
Appalachian State,1205,1718,0.459,516,0.376,742,0.686,284,1097,394,180,105,382,621
Arizona State,1325,2040,0.479,835,0.364,611,0.712,366,1310,621,171,130,440,604
Arizona,1480,2121,0.421,772,0.31,607,0.684,339,1107,477,175,109,432,729
Little Rock,1290,1661,0.445,633,0.36,668,0.717,280,1034,404,172,79,430,528
Arkansas-Pine Bluff,1305,1631,0.448,651,0.318,920,0.708,364,1153,432,305,93,535,528
Arkansas State,1285,1755,0.433,617,0.316,724,0.685,306,1074,411,181,125,422,656
Arkansas,1440,2159,0.417,792,0.332,843,0.705,460,1322,454,187,118,477,670
Army,1295,1907,0.44,666,0.33,641,0.69,275,1128,434,239,123,403,548
Auburn,1290,1972,0.437,765,0.357,765,0.72,398,1248,435,197,93,482,725
Austin Peay,1215,1877,0.491,714,0.37,558,0.729,364,1122,473,167,85,407,616
Ball State,1380,2097,0.422,751,0.356,738,0.718,372,1222,415,247,112,435,661
Baylor,1400,1960,0.405,687,0.323,586,0.713,351,1023,462,189,126,397,645
Belmont,1205,1739,0.427,559,0.318,558,0.746,263,973,340,171,87,340,534
Bethune-Cookman,1315,1889,0.469,672,0.335,733,0.673,398,1279,528,186,123,467,523
Binghamton,1285,1813,0.45,687,0.361,574,0.683,294,1117,448,186,97,373,542
Boise State,1280,1815,0.427,544,0.336,748,0.729,296,1081,378,192,147,378,650
Boston College,1280,1840,0.47,647,0.354,729,0.756,263,1109,501,246,120,398,527
