school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Abilene Christian,67.2,93.8,0.37,0.333,0.529,49.7,47.3,8.3,7.4,0.488,21.5,27.3,0.267
Air Force,67.4,104.7,0.286,0.462,0.555,49.9,54,10.5,8.2,0.533,15.7,23.8,0.194
Akron,68.5,92.9,0.297,0.382,0.481,51.8,45.1,8.2,8.7,0.452,16.6,29.3,0.194
Alabama A&M,67.5,104.5,0.388,0.384,0.558,52.9,53.5,11.3,8.9,0.537,18.3,31.7,0.247
Alabama-Birmingham,66.6,100.9,0.314,0.445,0.526,47.3,54.7,7.6,8.4,0.49,15.7,25.4,0.23
Alabama State,69.6,102.8,0.361,0.368,0.551,51,54.1,10.3,9.4,0.518,18.8,30.8,0.255
Alabama,69.8,102.1,0.296,0.327,0.521,48,43.1,9.3,11.7,0.489,14.7,28,0.21
Albany (NY),66.7,102.3,0.297,0.391,0.54,50.3,57.2,9.5,12.3,0.519,16.5,27.7,0.194
Alcorn State,68.8,102.5,0.355,0.377,0.538,50.1,62.5,11.4,7.7,0.507,16.9,29.1,0.244
American,67.7,100.2,0.348,0.304,0.52,49.6,50.2,9.2,9.2,0.482,15.5,27.3,0.248
Appalachian State,73.7,106.8,0.336,0.336,0.559,51.4,45.6,9.5,8.9,0.529,15.8,28.7,0.237
Arizona State,72.5,99.6,0.386,0.435,0.525,47.4,54.2,8.8,8.7,0.485,16.7,26.5,0.272
Arizona,68.6,99.7,0.35,0.369,0.538,49.5,47.8,7.8,10.6,0.509,18,25.9,0.238
Little Rock,72.7,103.5,0.385,0.438,0.553,50.2,54.8,7.7,7.1,0.518,17.1,26.9,0.273
Arkansas-Pine Bluff,67.3,103.7,0.441,0.33,0.548,50.6,55.7,11,9.5,0.513,17.6,29.9,0.298
Arkansas State,70.2,107.7,0.426,0.368,0.553,48.5,50.9,8.4,9.5,0.506,15.1,29.1,0.316
Arkansas,71.7,100.1,0.417,0.42,0.532,53,54,8.6,9,0.494,19.3,34.5,0.287
Army,71.7,100.5,0.281,0.407,0.549,51.1,52.7,9.4,12.4,0.527,17.2,22.1,0.191
Auburn,69.2,98.4,0.359,0.435,0.545,50.8,52.2,8.1,11.7,0.512,21.3,31.7,0.254
Austin Peay,71.8,100.6,0.337,0.378,0.544,48.3,51.9,7.8,7.9,0.514,19,29.1,0.234
Ball State,71.7,98.3,0.299,0.349,0.504,48.5,45.4,9.3,8.7,0.47,15.4,28.1,0.21
Baylor,66.5,101.4,0.365,0.382,0.525,45.9,55.6,8.9,12.6,0.491,16.1,28.9,0.249
Belmont,74.2,98.8,0.27,0.352,0.512,47.8,44.9,8.1,9.9,0.484,14.5,24.1,0.188
Bethune-Cookman,74.3,96.7,0.361,0.357,0.504,47.9,55.9,9.5,10,0.467,17.6,30.2,0.246
Binghamton,67.3,107,0.246,0.39,0.538,54.4,61.6,10.2,9,0.519,14.7,31.1,0.163
Boise State,66.5,102.3,0.328,0.403,0.554,50.2,51.8,7.2,8.3,0.518,16.8,24.2,0.243
Boston College,68.4,104.7,0.294,0.405,0.521,51.3,54.2,8.4,8.6,0.484,14.2,31.5,0.219
Boston University,68.1,105.9,0.318,0.397,0.569,48.5,52.4,8.8,8.3,0.539,16.4,24.7,0.232
Bowling Green State,72.8,100,0.301,0.435,0.529,46.5,47,8.9,7.2,0.5,15.8,23.8,0.209
Bradley,66.2,98.3,0.351,0.398,0.518,49.3,53.3,8.4,7.4,0.477,16.4,26.2,0.254
Brigham Young,71.9,104.6,0.354,0.366,0.545,51,51.1,7.9,7.2,0.507,15.5,26.8,0.26
Brown,72.6,94.2,0.302,0.409,0.51,50,49.6,9.1,9.3,0.479,18.3,25.6,0.208
Bryant,69.2,111.5,0.354,0.381,0.581,52.7,54.8,8.5,11.9,0.549,16.2,30.3,0.261
Bucknell,71.4,102.3,0.324,0.346,0.525,50.2,49.8,9.5,9.2,0.492,14.6,27.4,0.228
Buffalo,74.5,94.7,0.315,0.363,0.509,47.6,40.6,7.1,8.5,0.474,18.1,26.3,0.221
Butler,67.1,104.8,0.363,0.394,0.559,51.7,49.7,7.8,10.7,0.527,16.8,27.4,0.256
Cal Poly,66.8,110.3,0.374,0.332,0.555,53.2,54.2,7.8,9.9,0.522,13.8,30.6,0.263
Cal State Bakersfield,67.6,103.7,0.517,0.415,0.563,46.7,56.2,7.5,6.8,0.512,18.1,27.8,0.38
Cal State Fullerton,70.3,99.1,0.341,0.333,0.512,49.7,48.5,7.6,6.6,0.478,14.9,25.7,0.233
Cal State Northridge,72.1,109,0.322,0.358,0.55,52.1,52.3,8.2,7.3,0.516,14.7,31.9,0.238
California Baptist,70.1,101.5,0.37,0.337,0.521,47.9,44.7,7.9,7,0.48,14.1,25.6,0.264
UC-Davis,67,100.8,0.38,0.377,0.551,53.5,52.3,9.4,9.4,0.52,19,27.7,0.261
UC-Irvine,66.2,94.8,0.33,0.338,0.48,45.2,43.9,7.8,7.1,0.439,14.6,26.7,0.233
UC-Riverside,64.3,107,0.333,0.364,0.56,49.5,54.2,8.5,6.7,0.532,14.7,24.9,0.232
UC-Santa Barbara,66,99.3,0.313,0.36,0.513,45.2,46.8,6.6,7.8,0.482,14.7,25.5,0.215
University of California,68.5,112,0.361,0.418,0.596,55.4,55.3,7.2,8.7,0.569,17.9,31.5,0.259
Campbell,68,103.3,0.341,0.414,0.556,52.2,50.9,8.3,6.9,0.522,17.6,27.1,0.25
Canisius,68.5,107.1,0.369,0.373,0.567,52.7,48.6,7.8,9.3,0.536,17.9,31.5,0.262
Central Arkansas,72,104.3,0.339,0.403,0.54,51.8,56.6,8.6,7.5,0.508,15.9,29.3,0.237
Central Connecticut State,70.4,106.7,0.367,0.445,0.555,49.9,58.5,9.5,10,0.521,16.1,29.5,0.26
Central Florida,67.3,95.5,0.292,0.384,0.482,48.5,53.5,8.5,8.1,0.454,15.3,29.2,0.189
Central Michigan,73.6,102.7,0.281,0.357,0.527,50.4,41.9,6.9,12.4,0.501,16.6,32.3,0.193
Charleston Southern,71.9,96.1,0.31,0.422,0.535,49,55.2,9.4,8.8,0.504,20.1,26.5,0.22
Charlotte,65.8,104.3,0.326,0.423,0.549,51.7,52.6,10.5,12.8,0.513,15.8,26.1,0.242
Chattanooga,69.5,106.5,0.306,0.354,0.546,51.4,46.3,9.5,8.5,0.518,14.1,26.8,0.215
Chicago State,72,117.6,0.327,0.437,0.59,55.6,56.6,10.5,7.9,0.568,14.6,33.1,0.227
Cincinnati,65,95.7,0.305,0.428,0.513,46.3,50.7,5.8,9.4,0.486,18.2,28.8,0.202
Citadel,76.7,111.4,0.304,0.474,0.573,52.3,60.6,8.8,11.3,0.55,15.3,30.5,0.213
Clemson,67.3,95,0.3,0.396,0.513,47.5,44.5,8.3,8.3,0.476,17.6,24.5,0.219
Cleveland State,71.4,109.2,0.325,0.399,0.545,52.5,54.9,9.5,10.2,0.511,14.6,32.3,0.236
Coastal Carolina,71.2,103.4,0.408,0.451,0.546,47.2,53.5,9,9.2,0.507,16.3,27.2,0.29
Colgate,67.8,102.4,0.285,0.405,0.532,47.3,51.4,10.4,9.5,0.503,15.5,26.3,0.203
College of Charleston,66.3,102.8,0.265,0.431,0.548,49.6,51.6,7.8,8.2,0.519,16.9,25.8,0.195
Colorado State,68.9,108.7,0.294,0.413,0.557,50.2,53.1,8.4,6.6,0.529,14.1,26.6,0.211
Colorado,69.4,96.9,0.311,0.375,0.511,45.4,43.1,10.1,9.1,0.484,15.5,23.6,0.206
Columbia,69.4,102,0.382,0.409,0.547,50.3,48.1,8.7,8.4,0.511,17.4,26,0.27
Connecticut,69.7,101.9,0.392,0.337,0.539,49.3,52.9,8.9,8.7,0.496,17.5,30.1,0.287
Coppin State,71.9,104.8,0.336,0.401,0.534,51.2,55.3,10.3,8.5,0.502,14.6,28.4,0.234
Cornell,69.6,100.8,0.267,0.339,0.522,53.3,43.3,8.8,11.4,0.494,15.5,27.3,0.187
Creighton,70.2,102.7,0.273,0.398,0.549,49.8,51.9,8.9,10.8,0.528,17,25.9,0.186
Dartmouth,68.3,102.4,0.262,0.339,0.541,49.6,45.4,9.1,9,0.516,14.9,23.5,0.185
Davidson,66.1,98.8,0.294,0.438,0.513,49.1,54.8,7.7,7.4,0.481,14.9,24.4,0.209
Dayton,66.2,98.8,0.238,0.405,0.505,48,51.7,8,8.1,0.479,14.6,27.1,0.167
Delaware State,72.6,105.3,0.377,0.392,0.553,53.3,58.2,9.5,10.9,0.517,17.2,30.7,0.27
Delaware,64.7,108.2,0.277,0.379,0.543,51.2,50.9,8.1,8.9,0.513,13.1,27.9,0.202
