school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Abilene Christian,32,16,16,-9.14,-6.82,6,9,2359,2279,1290,1874,0.464,656,0.325,579,0.701,305,1093,482,260,128,461,671
Air Force,31,12,19,-4.31,1.72,3,10,2124,2244,1245,1751,0.419,755,0.331,556,0.734,302,1014,445,201,78,391,557
Akron,32,14,18,-6.82,-1.92,2,10,2296,2411,1295,1824,0.435,851,0.358,582,0.696,300,1071,418,189,81,440,637
Alabama A&M,31,3,28,-23.97,-8.04,1,18,1873,2367,1245,1697,0.397,601,0.303,533,0.647,328,1046,340,123,49,514,506
Alabama-Birmingham,33,20,13,4.9,-0.65,5,6,2536,2303,1330,1937,0.488,646,0.345,564,0.75,332,1255,560,178,127,437,490
Alabama State,31,8,23,-18.55,-8.62,4,13,2129,2437,1245,1839,0.408,638,0.328,647,0.646,394,1131,313,169,130,437,648
Alabama,36,20,16,12.34,10.64,2,8,2604,2543,1440,1975,0.461,702,0.326,828,0.67,358,1290,458,228,192,513,676
Albany (NY),32,22,10,0.01,-5.41,8,7,2375,2182,1280,1836,0.457,502,0.367,680,0.754,377,1191,405,150,91,371,528
Alcorn State,32,11,21,-18.07,-8.6,2,16,2244,2388,1285,1824,0.434,697,0.343,598,0.707,304,1104,419,200,85,459,613
American,30,6,24,-14.63,-6.17,2,16,1961,2215,1205,1615,0.432,709,0.337,491,0.664,238,869,367,217,98,413,550
Appalachian State,33,15,18,-4.81,-2.65,4,11,2520,2448,1340,1983,0.436,859,0.34,749,0.668,389,1292,411,198,117,457,627
Arizona State,32,20,12,14.37,6.56,4,6,2645,2395,1290,1920,0.463,793,0.363,793,0.733,315,1126,458,209,114,343,604
Arizona,35,27,8,15.67,6.84,8,3,2818,2509,1420,2003,0.504,642,0.369,741,0.76,352,1277,531,173,158,426,603
Little Rock,32,7,25,-10.44,-2.21,2,14,2038,2242,1300,1756,0.427,623,0.321,554,0.61,322,1089,391,159,93,459,612
Arkansas-Pine Bluff,35,14,21,-14.84,-9.36,6,13,2307,2499,1410,1863,0.437,660,0.329,681,0.675,277,1024,427,275,144,500,684
Arkansas State,32,11,21,-9.65,-3.02,4,13,2369,2523,1290,1910,0.44,695,0.34,628,0.718,354,1072,344,215,95,419,589
Arkansas,35,23,12,14.76,9.85,3,7,2819,2647,1415,2119,0.474,681,0.395,793,0.681,350,1208,501,218,163,381,700
Army,30,13,17,-8.62,-7.17,4,12,2230,2223,1205,1845,0.444,771,0.383,448,0.658,300,1073,501,170,83,403,593
Auburn,34,26,8,15.97,7.29,7,4,2783,2488,1360,2102,0.431,908,0.357,836,0.774,403,1290,481,252,180,411,672
Austin Peay,34,19,15,-3.28,-2.49,5,9,2512,2446,1370,2012,0.455,592,0.341,737,0.651,443,1209,453,225,103,478,671
Ball State,32,19,13,-1.22,-1.99,5,10,2410,2362,1295,1895,0.452,727,0.337,643,0.705,318,1210,453,170,112,423,547
Baylor,34,19,15,14.59,9.17,2,9,2571,2369,1375,2007,0.469,608,0.357,640,0.734,400,1292,516,185,152,463,608
Belmont,33,24,9,5.54,-2.88,9,6,2562,2284,1320,1853,0.486,1005,0.376,517,0.739,258,1133,529,161,82,410,531
Bethune-Cookman,32,18,14,-12.21,-12.48,8,10,2621,2543,1290,2039,0.443,759,0.318,820,0.701,424,1346,501,202,123,507,670
Binghamton,31,11,20,-10.29,-6.36,3,12,2147,2181,1245,1775,0.443,671,0.35,528,0.64,283,1066,376,170,131,381,522
Boise State,32,23,9,11.21,3.05,6,6,2502,2210,1300,1903,0.461,809,0.379,595,0.738,318,1232,427,183,70,433,573
Boston College,35,19,16,9,7.2,2,11,2673,2610,1415,2105,0.45,831,0.359,646,0.741,371,1293,492,175,110,441,570
Boston University,31,15,16,-8.34,-5.84,9,9,2186,2226,1240,1730,0.462,614,0.373,559,0.639,296,1044,420,229,103,427,531
Bowling Green State,32,16,16,-6.38,-2.88,6,9,2429,2490,1305,1963,0.421,690,0.349,730,0.732,372,1226,425,189,82,408,569
Bradley,33,20,13,2.08,0.36,4,9,2223,2136,1320,1788,0.43,613,0.354,665,0.707,359,1178,447,214,133,441,626
Brigham Young,35,24,11,8.04,1.53,7,6,2600,2372,1415,1905,0.482,649,0.347,716,0.75,242,1146,533,224,133,403,596
Brown,27,11,16,-7.78,-4.67,3,11,2080,2133,1100,1631,0.426,588,0.316,667,0.756,310,988,338,174,81,364,565
Bryant,31,3,28,-18.75,-5.43,2,17,2169,2582,1245,1881,0.41,755,0.343,522,0.705,312,1000,417,190,43,401,600
Bucknell,35,25,10,4.48,-3.46,10,8,2837,2559,1420,2050,0.471,804,0.348,872,0.719,324,1281,505,194,152,437,655
Buffalo,36,27,9,7.99,0.25,8,5,3047,2742,1455,2334,0.473,948,0.37,695,0.699,426,1388,597,225,146,446,755
Butler,35,21,14,16.92,10.55,3,7,2763,2540,1430,2155,0.473,805,0.357,562,0.776,319,1198,489,232,100,391,642
Cal Poly,31,9,22,-11.55,-1.83,1,13,2082,2302,1270,1817,0.397,746,0.358,478,0.78,291,1034,372,154,122,366,565
Cal State Bakersfield,30,12,18,-6.58,-0.73,3,12,1981,2068,1200,1670,0.417,613,0.302,578,0.696,341,1068,387,182,87,416,597
Cal State Fullerton,32,20,12,-0.92,-1.02,7,7,2318,2245,1290,1721,0.467,500,0.334,745,0.729,276,1123,403,201,106,455,578
Cal State Northridge,30,6,24,-13.51,-3.55,2,13,1983,2206,1215,1689,0.433,514,0.362,473,0.708,247,940,366,149,74,365,533
UC-Davis,33,22,11,0.94,-1.84,9,7,2388,2241,1360,1792,0.465,572,0.372,705,0.716,267,1064,409,233,77,425,644
