school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Abilene Christian,71.1,105,0.383,0.373,0.549,50.1,56.6,13.1,7.9,0.507,16.9,30.6,0.284
Air Force,68.9,106,0.357,0.417,0.568,50,58.2,7.3,4.6,0.534,16.1,22.7,0.261
Akron,70.6,107.2,0.352,0.444,0.562,50.7,51.4,7.2,7.3,0.521,16,27.9,0.271
Alabama A&M,69.2,88.5,0.326,0.32,0.462,47.2,48.7,8.4,5.9,0.425,15.9,25,0.218
Alabama-Birmingham,67,100.1,0.351,0.301,0.535,54.8,43.1,8.9,8.6,0.501,19,31.9,0.247
Alabama State,71,86.9,0.361,0.392,0.477,47.2,48.2,8.9,6.1,0.446,19.8,25.9,0.226
Alabama,76.1,106,0.369,0.489,0.553,49.7,51.6,8.2,10.4,0.522,16.7,29.8,0.256
Albany (NY),69.7,95,0.339,0.438,0.518,49.8,56.4,8,7.9,0.482,17.5,24.1,0.239
Alcorn State,72.7,103.4,0.302,0.404,0.539,51.5,52.3,11,8.6,0.504,16.9,30.6,0.224
American,69,103.5,0.286,0.347,0.543,48.6,48.1,11.5,9.3,0.516,15.7,26.6,0.201
Appalachian State,68.4,99.4,0.393,0.39,0.525,49.8,49.1,10.8,6.7,0.491,16.9,27.7,0.263
Arizona State,73.7,100.1,0.324,0.369,0.521,48.5,42.3,10.9,9.4,0.488,15.7,26.5,0.225
Arizona,70.1,108.1,0.363,0.345,0.547,52.8,57.3,9.5,10.6,0.508,14.4,30.9,0.265
Little Rock,70.2,104.4,0.45,0.328,0.566,52.2,59.5,9.8,10.4,0.527,19.3,30.7,0.319
Arkansas-Pine Bluff,67.6,79.3,0.374,0.289,0.462,48.9,49.1,10.7,9.8,0.435,23.3,27.9,0.22
Arkansas State,68.5,102.4,0.474,0.317,0.537,49.3,58.9,10,7.6,0.49,16.5,28.8,0.336
Arkansas,71.4,104,0.42,0.395,0.55,45,46.5,11,9.9,0.506,14.3,21.3,0.306
Army,69.7,100.9,0.253,0.37,0.545,48.6,59.3,7.9,4.6,0.533,15.4,20,0.156
Auburn,70.4,108.2,0.438,0.441,0.536,53.7,49.1,8.9,12.9,0.5,15,35.3,0.295
Austin Peay,69.9,108.9,0.368,0.331,0.552,52.1,48.7,9.4,8.2,0.516,15.6,33.1,0.264
Ball State,69.3,100.3,0.308,0.48,0.537,51,55.7,9.5,9,0.509,17,25.4,0.214
Baylor,66.6,106.4,0.308,0.369,0.523,52.5,54.1,12.2,12.5,0.494,14.9,35.7,0.213
Belmont,72.8,109.4,0.227,0.438,0.572,50.5,61.3,10.4,8,0.553,14.6,24.9,0.162
Bethune-Cookman,75,98.3,0.381,0.313,0.515,50.5,46.3,9.5,7.5,0.474,17.6,30.6,0.267
Binghamton,69.4,99.6,0.238,0.479,0.517,47.1,47.3,7.5,7.9,0.489,15.5,25.6,0.173
Boise State,70,106.5,0.362,0.421,0.56,51.5,50.2,8,4.1,0.52,15.5,25.9,0.271
