team1,team2
Wake Forest,Pittsburgh
Virginia Tech,North Carolina
Clemson,Miami (FL)
Notre Dame,Boston College
Oklahoma State,Iowa State
Texas,Texas Tech
Texas Christian,Kansas State
Oklahoma,West Virginia
Mississippi,Georgia
Tennessee,Alabama
Arkansas,Vanderbilt
Texas A&M,Missouri
Georgetown,St. John's (NY)
Xavier,DePaul
Providence,Butler
Seton Hall,Marquette
Oregon State,Utah
Stanford,University of California
Colorado,Washington State
Arizona,Washington
North Carolina State,Pittsburgh
Florida State,Clemson
Syracuse,Virginia Tech
Virginia,Notre Dame
Kansas,Oklahoma State
Baylor,Texas Christian
Florida,Mississippi
Kentucky,Tennessee
South Carolina,Arkansas
Auburn,Missouri
Creighton,St. John's (NY)
Villanova,Xavier
Oregon,Utah
Southern California,Arizona
UCLA,Stanford
Arizona State,Colorado
Duke,North Carolina State
Louisville,Virginia Tech
Kansas,Texas Tech
Baylor,West Virginia
Mississippi State,Florida
Louisiana State,Arkansas
Creighton,Butler
Villanova,Marquette
Oregon,Arizona
Stanford,Colorado
Duke,Florida State
Louisville,Virginia
Kansas,Baylor
Florida,Kentucky
Arkansas,Auburn
Creighton,Villanova
Oregon,Colorado
Duke,Louisville
Florida,Auburn
Minnesota,Northwestern
Rutgers,Michigan
Indiana,Nebraska
Ohio State,Purdue
Iowa,Minnesota
Wisconsin,Michigan
Penn State,Indiana
Michigan State,Ohio State
Illinois,Minnesota
Maryland,Penn State
Illinois,Michigan
Maryland,Ohio State
Michigan,Ohio State
