,wins
Duke,4
North Dakota State,0
Virginia Commonwealth,1
Central Florida,0
Mississippi State,1
Liberty,0
Virginia Tech,2
Saint Louis,0
Maryland,0
Belmont,1
Louisiana State,2
Yale,0
Louisville,1
Minnesota,0
Michigan State,3
Bradley,0
Gonzaga,6
Fairleigh Dickinson,0
Syracuse,0
Baylor,1
Marquette,1
Murray State,0
Florida State,2
Vermont,0
Buffalo,1
Arizona State,0
Texas Tech,3
Northern Kentucky,0
Nevada,0
Florida,1
Michigan,2
Montana,0
North Carolina,2
Iona,0
Utah State,1
Washington,0
Auburn,3
New Mexico State,0
Kansas,1
Northeastern,0
Iowa State,1
Ohio State,0
Houston,2
Georgia State,0
Wofford,4
Seton Hall,0
Kentucky,1
Abilene Christian,0
Virginia,3
Gardner-Webb,0
Mississippi,1
Oklahoma,0
Wisconsin,2
Oregon,0
Kansas State,1
UC-Irvine,0
Villanova,1
Saint Mary's (CA),0
Purdue,2
Old Dominion,0
Cincinnati,1
Iowa,0
Tennessee,5
Colgate,0
