year,team1,team2,score1,score2,pscore1,pscore2,winner,pwinner,correct,probability
2017,Villanova,Mount St. Mary's,76,56,86.3051087775874,58.50473189935843,Villanova,Villanova,1,0.9890524040323884
2017,Wisconsin,Virginia Tech,84,74,81.35066456228299,67.39909479675748,Wisconsin,Wisconsin,1,0.8749954014735977
2017,Virginia,North Carolina-Wilmington,76,71,78.6122255110633,70.75500370159152,Virginia,Virginia,1,0.7414555421960854
2017,Florida,East Tennessee State,80,65,83.61969124478199,65.50741527803056,Florida,Florida,1,0.932331554731273
2017,Southern Methodist,Southern California,65,66,72.23233256408963,64.11857687637006,Southern California,Southern Methodist,0,0.7482493440327042
2017,Baylor,New Mexico State,91,73,74.07134705795589,66.74588261885737,Baylor,Baylor,1,0.7270765515302962
2017,South Carolina,Marquette,93,73,81.75453264428343,73.47525240266827,South Carolina,South Carolina,1,0.7525823793010347
2017,Duke,Troy,87,65,90.40622403706598,66.04150177218052,Duke,Duke,1,0.9777264736290493
2017,Villanova,Wisconsin,62,65,69.47257873140268,67.58628815378898,Wisconsin,Villanova,0,0.5617972138670572
2017,Virginia,Florida,39,65,60.893656426998675,66.16361831275258,Florida,Florida,1,0.3319569054915189
2017,Wisconsin,Florida,83,84,67.85437178510408,72.02328867100346,Florida,Florida,1,0.36552346750362136
2017,Southern California,Baylor,78,82,63.821061781624564,75.05963324356361,Baylor,Baylor,1,0.17705766932084216
2017,South Carolina,Duke,88,81,69.83887762985255,74.23741452260549,South Carolina,Duke,0,0.3584273094303332
2017,Baylor,South Carolina,50,70,65.92977095361812,67.40294177085178,South Carolina,South Carolina,1,0.4516613447793581
2017,Florida,South Carolina,70,77,71.62000471213912,66.04985851349345,South Carolina,Florida,0,0.6769786297851347
2017,Kansas,UC-Davis,100,62,89.6647367222763,64.61169515413005,Kansas,Kansas,1,0.9805696741731215
2017,Miami (FL),Michigan State,58,78,70.82037675519169,66.31597037896337,Michigan State,Miami (FL),0,0.6448282509463574
2017,Kansas,Michigan State,90,70,80.81128256647938,69.41702656691811,Kansas,Kansas,1,0.8262559834288126
2017,Iowa State,Nevada,84,73,82.30644640476007,73.94800307053609,Iowa State,Iowa State,1,0.7546405016630466
2017,Purdue,Vermont,80,70,75.200816203897,68.71208809254293,Purdue,Purdue,1,0.7036767959020822
2017,Creighton,Rhode Island,72,84,75.27993641967268,77.55216107593193,Rhode Island,Rhode Island,1,0.4256938173452419
2017,Oregon,Iona,93,77,92.83141879521432,69.15051746838408,Oregon,Oregon,1,0.9745620148635075
2017,Michigan,Oklahoma State,92,91,89.61933172885011,74.77940927261017,Michigan,Michigan,1,0.8894433252735661
