team,tournament_num
Duke,0
North Dakota State,1
Virginia Commonwealth,2
Central Florida,3
Mississippi State,4
Liberty,5
Virginia Tech,6
Saint Louis,7
Maryland,8
Belmont,9
Louisiana State,10
Yale,11
Louisville,12
Minnesota,13
Michigan State,14
Bradley,15
Gonzaga,16
Fairleigh Dickinson,17
Syracuse,18
Baylor,19
Marquette,20
Murray State,21
Florida State,22
Vermont,23
Buffalo,24
Arizona State,25
Texas Tech,26
Northern Kentucky,27
Nevada,28
Florida,29
Michigan,30
Montana,31
North Carolina,32
Iona,33
Utah State,34
Washington,35
Auburn,36
New Mexico State,37
Kansas,38
Northeastern,39
Iowa State,40
Ohio State,41
Houston,42
Georgia State,43
Wofford,44
Seton Hall,45
Kentucky,46
Abilene Christian,47
Virginia,48
Gardner-Webb,49
Mississippi,50
Oklahoma,51
Wisconsin,52
Oregon,53
Kansas State,54
UC-Irvine,55
Villanova,56
Saint Mary's (CA),57
Purdue,58
Old Dominion,59
Cincinnati,60
Iowa,61
Tennessee,62
Colgate,63
