year,team1,score1,team2,score2,winner
2019,Duke,85,North Dakota,62,Duke
2019,Virginia Commonwealth,58,Central Florida,73,Central Florida
2019,Mississippi State,76,Liberty,80,Liberty
2019,Virginia Tech,66,Saint Louis,52,Virginia Tech
2019,Maryland,79,Belmont,77,Maryland
2019,Louisiana State,79,Yale,74,Louisiana State
2019,Louisville,76,Minnesota,86,Minnesota
2019,Michigan State,76,Bradley,65,Michigan State
2019,Gonzaga,87,Fairleigh Dickinson,49,Gonzaga
2019,Syracuse,69,Baylor,78,Baylor
2019,Marquette,64,Murray State,83,Murray State
2019,Florida State,76,Vermont,69,Florida State
2019,Buffalo,91,Arizona State,74,Buffalo
2019,Texas Tech,72,Northern Kentucky,57,Texas Tech
2019,Nevada,61,Florida,70,Florida
2019,Michigan,74,Montana,55,Michigan
2019,Virginia,71,Gardner-Webb,56,Virginia
2019,Mississippi,72,Oklahoma,95,Oklahoma
2019,Wisconsin,54,Oregon,72,Oregon
2019,Kansas State,64,UC-Irvine,70,UC-Irvine
2019,Villanova,61,Saint Mary's,57,Villanova
2019,Purdue,61,Old Dominion,48,Purdue
2019,Cincinnati,72,Iowa,79,Iowa
2019,Tennessee,77,Colgate,70,Tennessee
2019,North Carolina,88,Iona,73,North Carolina
2019,Utah State,61,Washington,78,Washington
2019,Auburn,78,New Mexico State,77,Auburn
2019,Kansas,87,Northeastern,53,Kansas
2019,Iowa State,59,Ohio State,62,Ohio State
2019,Houston,84,Georgia State,55,Houston
2019,Wofford,84,Seton Hall,68,Wofford
2019,Kentucky,79,Abilene Christian,44,Kentucky
2019,Duke,77,Central Florida,76,Duke
2019,Liberty,58,Virginia Tech,67,Virginia Tech
2019,Maryland,67,Louisiana State,69,Louisiana State
2019,Minnesota,50,Michigan State,70,Michigan State
2019,Gonzaga,83,Baylor,71,Gonzaga
2019,Murray State,62,Florida State,90,Florida State
2019,Buffalo,58,Texas Tech,78,Texas Tech
2019,Florida,49,Michigan,64,Michigan
2019,Virginia,63,Oklahoma,51,Virginia
2019,Oregon,73,UC-Irvine,54,Oregon
2019,Villanova,61,Purdue,87,Purdue
2019,Iowa,77,Tennessee,83,Tennessee
2019,North Carolina,81,Washington,59,North Carolina
2019,Auburn,89,Kansas,75,Auburn
2019,Ohio State,59,Houston,74,Houston
2019,Wofford,56,Kentucky,62,Kentucky
2019,Duke,75,Virginia Tech,73,Duke
2019,Louisiana State,63,Michigan State,80,Michigan State
2019,Gonzaga,72,Florida State,58,Gonzaga
2019,Texas Tech,63,Michigan,44,Texas Tech
2019,Virginia,53,Oregon,49,Virginia
2019,Purdue,99,Tennessee,94,Purdue
2019,North Carolina,80,Auburn,97,Auburn
2019,Houston,58,Kentucky,62,Kentucky
2019,Virginia,80,Purdue,75,Virginia
2019,Auburn,77,Kentucky,71,Auburn
2019,Michigan State,51,Texas Tech,61,Texas Tech
2019,Virginia,63,Auburn,62,Virginia
2019,Texas Tech,77,Virginia,85,Virginia
2018,Villanova,87,Radford,61,Villanova
2018,Virginia Tech,83,Alabama,86,Alabama
2018,West Virginia,85,Murray State,68,West Virginia
2018,Wichita State,75,Marshall,81,Marshall
2018,Florida,77,St. Bonaventure,62,Florida
2018,Texas Tech,70,Stephen F. Austin,60,Texas Tech
2018,Arkansas,62,Butler,79,Butler
2018,Purdue,74,Cal State Fullerton,48,Purdue
2018,Villanova,81,Alabama,58,Villanova
2018,West Virginia,94,Marshall,71,West Virginia
2018,Florida,66,Texas Tech,69,Texas Tech
2018,Butler,73,Purdue,76,Purdue
2018,Villanova,90,West Virginia,78,Villanova
2018,Texas Tech,78,Purdue,65,Texas Tech
2018,Villanova,71,Texas Tech,59,Villanova
2018,Kansas,76,Pennsylvania,60,Kansas
2018,Seton Hall,94,North Carolina State,83,Seton Hall
2018,Clemson,79,New Mexico State,68,Clemson
2018,Auburn,62,College of Charleston,58,Auburn
2018,Texas Christian,52,Syracuse,57,Syracuse
2018,Michigan State,82,Bucknell,78,Michigan State
2018,Rhode Island,83,Oklahoma,78,Rhode Island
2018,Duke,89,Iona,67,Duke
2018,Kansas,83,Seton Hall,79,Kansas
2018,Clemson,84,Auburn,53,Clemson
2018,Syracuse,55,Michigan State,53,Syracuse
2018,Rhode Island,62,Duke,87,Duke
2018,Kansas,80,Clemson,76,Kansas
2018,Syracuse,65,Duke,69,Duke
2018,Kansas,85,Duke,81,Kansas
2018,Xavier,102,Texas Southern,83,Xavier
2018,Missouri,54,Florida State,67,Florida State
2018,Ohio State,81,South Dakota State,73,Ohio State
2018,Gonzaga,68,North Carolina-Greensboro,64,Gonzaga
2018,Houston,67,San Diego State,65,Houston
2018,Michigan,61,Montana,47,Michigan
2018,Texas A&M,73,Providence,69,Texas A&M
2018,North Carolina,84,Lipscomb,66,North Carolina
2018,Xavier,70,Florida State,75,Florida State
2018,Ohio State,84,Gonzaga,90,Gonzaga
2018,Houston,63,Michigan,64,Michigan
2018,Texas A&M,86,North Carolina,65,Texas A&M
2018,Florida State,75,Gonzaga,60,Florida State
2018,Michigan,99,Texas A&M,72,Michigan
2018,Florida State,54,Michigan,58,Michigan
2018,Virginia,54,Maryland-Baltimore County,74,Maryland-Baltimore County
2018,Creighton,59,Kansas State,69,Kansas State
2018,Kentucky,78,Davidson,73,Kentucky
2018,Arizona,68,Buffalo,89,Buffalo
2018,Miami (FL),62,Loyola (IL),64,Loyola (IL)
2018,Tennessee,73,Wright State,47,Tennessee
2018,Nevada,87,Texas,83,Nevada
2018,Cincinnati,68,Georgia State,53,Cincinnati
2018,Maryland-Baltimore County,43,Kansas State,50,Kansas State
2018,Kentucky,95,Buffalo,75,Kentucky
2018,Loyola (IL),63,Tennessee,62,Loyola (IL)
2018,Nevada,75,Cincinnati,73,Nevada
2018,Kansas State,61,Kentucky,58,Kansas State
2018,Loyola (IL),69,Nevada,68,Loyola (IL)
2018,Kansas State,62,Loyola (IL),78,Loyola (IL)
2018,Villanova,95,Kansas,79,Villanova
2018,Loyola (IL),57,Michigan,69,Michigan
2018,Villanova,79,Michigan,62,Villanova
2017,Villanova,76,Mount St. Mary's,56,Villanova
2017,Wisconsin,84,Virginia Tech,74,Wisconsin
2017,Virginia,76,North Carolina-Wilmington,71,Virginia
2017,Florida,80,East Tennessee State,65,Florida
2017,Southern Methodist,65,Southern California,66,Southern California
2017,Baylor,91,New Mexico State,73,Baylor
2017,South Carolina,93,Marquette,73,South Carolina
2017,Duke,87,Troy,65,Duke
2017,Villanova,62,Wisconsin,65,Wisconsin
2017,Virginia,39,Florida,65,Florida
2017,Southern California,78,Baylor,82,Baylor
2017,South Carolina,88,Duke,81,South Carolina
2017,Wisconsin,83,Florida,84,Florida
2017,Baylor,50,South Carolina,70,South Carolina
2017,Florida,70,South Carolina,77,South Carolina
2017,Kansas,100,UC-Davis,62,Kansas
2017,Miami (FL),58,Michigan State,78,Michigan State
2017,Iowa State,84,Nevada,73,Iowa State
2017,Purdue,80,Vermont,70,Purdue
2017,Creighton,72,Rhode Island,84,Rhode Island
2017,Oregon,93,Iona,77,Oregon
2017,Michigan,92,Oklahoma State,91,Michigan
2017,Louisville,78,Jacksonville State,63,Louisville
2017,Kansas,90,Michigan State,70,Kansas
2017,Iowa State,76,Purdue,80,Purdue
2017,Rhode Island,72,Oregon,75,Oregon
2017,Michigan,73,Louisville,69,Michigan
2017,Kansas,98,Purdue,66,Kansas
2017,Oregon,69,Michigan,68,Oregon
2017,Kansas,60,Oregon,74,Oregon
2017,North Carolina,103,Texas Southern,64,North Carolina
2017,Arkansas,77,Seton Hall,71,Arkansas
2017,Minnesota,72,Middle Tennessee,81,Middle Tennessee
2017,Butler,76,Winthrop,64,Butler
2017,Cincinnati,75,Kansas State,61,Cincinnati
2017,UCLA,97,Kent State,80,UCLA
2017,Dayton,58,Wichita State,64,Wichita State
2017,Kentucky,79,Northern Kentucky,70,Kentucky
2017,North Carolina,72,Arkansas,65,North Carolina
2017,Middle Tennessee,65,Butler,74,Butler
2017,Cincinnati,67,UCLA,79,UCLA
2017,Wichita State,62,Kentucky,65,Kentucky
2017,North Carolina,92,Butler,80,North Carolina
2017,UCLA,75,Kentucky,86,Kentucky
2017,North Carolina,75,Kentucky,73,North Carolina
2017,Gonzaga,66,South Dakota State,46,Gonzaga
2017,Northwestern,68,Vanderbilt,66,Northwestern
2017,Notre Dame,60,Princeton,58,Notre Dame
2017,West Virginia,86,Bucknell,80,West Virginia
2017,Maryland,65,Xavier,76,Xavier
2017,Florida State,86,Florida Gulf Coast,80,Florida State
2017,Saint Mary's (CA),86,Virginia Commonwealth,77,Saint Mary's (CA)
2017,Arizona,100,North Dakota,82,Arizona
2017,Gonzaga,79,Northwestern,73,Gonzaga
2017,Notre Dame,71,West Virginia,83,West Virginia
2017,Xavier,91,Florida State,66,Xavier
2017,Saint Mary's (CA),60,Arizona,69,Arizona
2017,Gonzaga,61,West Virginia,58,Gonzaga
2017,Xavier,73,Arizona,71,Xavier
2017,Gonzaga,83,Xavier,59,Gonzaga
2017,Oregon,76,North Carolina,77,North Carolina
2017,South Carolina,73,Gonzaga,77,Gonzaga
2017,North Carolina,71,Gonzaga,65,North Carolina
2016,North Carolina,83,Florida Gulf Coast,67,North Carolina
2016,Southern California,69,Providence,70,Providence
2016,Indiana,99,Chattanooga,74,Indiana
2016,Kentucky,85,Stony Brook,57,Kentucky
2016,Notre Dame,70,Michigan,63,Notre Dame
2016,West Virginia,56,Stephen F. Austin,70,Stephen F. Austin
2016,Wisconsin,47,Pittsburgh,43,Wisconsin
2016,Xavier,71,Weber State,53,Xavier
2016,North Carolina,85,Providence,66,North Carolina
2016,Indiana,73,Kentucky,67,Indiana
2016,Notre Dame,76,Stephen F. Austin,75,Notre Dame
2016,Wisconsin,66,Xavier,63,Wisconsin
2016,North Carolina,101,Indiana,86,North Carolina
2016,Notre Dame,61,Wisconsin,56,Notre Dame
2016,North Carolina,88,Notre Dame,74,North Carolina
2016,Kansas,105,Austin Peay,79,Kansas
2016,Colorado,67,Connecticut,74,Connecticut
2016,Maryland,79,South Dakota State,74,Maryland
2016,University of California,66,Hawaii,77,Hawaii
2016,Arizona,55,Wichita State,65,Wichita State
2016,Miami (FL),79,Buffalo,72,Miami (FL)
2016,Iowa,72,Temple,70,Iowa
2016,Villanova,86,North Carolina-Asheville,56,Villanova
2016,Kansas,73,Connecticut,61,Kansas
2016,Maryland,73,Hawaii,60,Maryland
2016,Wichita State,57,Miami (FL),65,Miami (FL)
2016,Iowa,68,Villanova,87,Villanova
2016,Kansas,79,Maryland,63,Kansas
2016,Miami (FL),69,Villanova,92,Villanova
2016,Kansas,59,Villanova,64,Villanova
2016,Oregon,91,Holy Cross,52,Oregon
2016,Saint Joseph's,78,Cincinnati,76,Saint Joseph's
2016,Baylor,75,Yale,79,Yale
2016,Duke,93,North Carolina-Wilmington,85,Duke
2016,Texas,72,Northern Iowa,75,Northern Iowa
2016,Texas A&M,92,Green Bay,65,Texas A&M
2016,Oregon State,67,Virginia Commonwealth,75,Virginia Commonwealth
2016,Oklahoma,82,Cal State Bakersfield,68,Oklahoma
2016,Oregon,69,Saint Joseph's,64,Oregon
2016,Yale,64,Duke,71,Duke
2016,Northern Iowa,88,Texas A&M,92,Texas A&M
2016,Virginia Commonwealth,81,Oklahoma,85,Oklahoma
2016,Oregon,82,Duke,68,Oregon
2016,Texas A&M,63,Oklahoma,77,Oklahoma
2016,Oregon,68,Oklahoma,80,Oklahoma
2016,Virginia,81,Hampton,45,Virginia
2016,Texas Tech,61,Butler,71,Butler
2016,Purdue,83,Little Rock,85,Little Rock
2016,Iowa State,94,Iona,81,Iowa State
2016,Seton Hall,52,Gonzaga,68,Gonzaga
2016,Utah,80,Fresno State,69,Utah
2016,Dayton,51,Syracuse,70,Syracuse
2016,Michigan State,81,Middle Tennessee,90,Middle Tennessee
2016,Virginia,77,Butler,69,Virginia
2016,Little Rock,61,Iowa State,78,Iowa State
2016,Gonzaga,82,Utah,59,Gonzaga
2016,Syracuse,75,Middle Tennessee,50,Syracuse
2016,Virginia,84,Iowa State,71,Virginia
2016,Gonzaga,60,Syracuse,63,Syracuse
2016,Virginia,62,Syracuse,68,Syracuse
2016,Villanova,95,Oklahoma,51,Villanova
2016,Syracuse,66,North Carolina,83,North Carolina
2016,Villanova,77,North Carolina,74,Villanova
2015,Villanova,93,Lafayette,52,Villanova
2015,North Carolina State,66,Louisiana State,65,North Carolina State
2015,Northern Iowa,71,Wyoming,54,Northern Iowa
2015,Louisville,57,UC-Irvine,55,Louisville
2015,Providence,53,Dayton,66,Dayton
2015,Oklahoma,69,Albany (NY),60,Oklahoma
2015,Michigan State,70,Georgia,63,Michigan State
2015,Virginia,79,Belmont,67,Virginia
2015,Villanova,68,North Carolina State,71,North Carolina State
2015,Northern Iowa,53,Louisville,66,Louisville
2015,Dayton,66,Oklahoma,72,Oklahoma
2015,Michigan State,60,Virginia,54,Michigan State
2015,North Carolina State,65,Louisville,75,Louisville
2015,Oklahoma,58,Michigan State,62,Michigan State
2015,Louisville,70,Michigan State,76,Michigan State
2015,Kentucky,79,Hampton,56,Kentucky
2015,Cincinnati,66,Purdue,65,Cincinnati
2015,West Virginia,68,Buffalo,62,West Virginia
2015,Maryland,65,Valparaiso,62,Maryland
2015,Butler,56,Texas,48,Butler
2015,Notre Dame,69,Northeastern,65,Notre Dame
2015,Wichita State,81,Indiana,76,Wichita State
2015,Kansas,75,New Mexico State,56,Kansas
2015,Kentucky,64,Cincinnati,51,Kentucky
2015,West Virginia,69,Maryland,59,West Virginia
2015,Butler,64,Notre Dame,67,Notre Dame
2015,Wichita State,78,Kansas,65,Wichita State
2015,Kentucky,78,West Virginia,39,Kentucky
2015,Notre Dame,81,Wichita State,70,Notre Dame
2015,Kentucky,68,Notre Dame,66,Kentucky
2015,Duke,85,Robert Morris,56,Duke
2015,San Diego State,76,St. John's (NY),64,San Diego State
2015,Utah,57,Stephen F. Austin,50,Utah
2015,Georgetown,84,Eastern Washington,74,Georgetown
2015,Southern Methodist,59,UCLA,60,UCLA
2015,Iowa State,59,Alabama-Birmingham,60,Alabama-Birmingham
2015,Iowa,83,Davidson,52,Iowa
2015,Gonzaga,86,North Dakota State,76,Gonzaga
2015,Duke,68,San Diego State,49,Duke
2015,Utah,75,Georgetown,64,Utah
2015,UCLA,92,Alabama-Birmingham,75,UCLA
2015,Iowa,68,Gonzaga,87,Gonzaga
2015,Duke,63,Utah,57,Duke
2015,UCLA,62,Gonzaga,74,Gonzaga
2015,Duke,66,Gonzaga,52,Duke
2015,Wisconsin,86,Coastal Carolina,72,Wisconsin
2015,Oregon,79,Oklahoma State,73,Oregon
2015,Arkansas,56,Wofford,53,Arkansas
2015,North Carolina,67,Harvard,65,North Carolina
2015,Xavier,76,Mississippi,57,Xavier
2015,Baylor,56,Georgia State,57,Georgia State
2015,Virginia Commonwealth,72,Ohio State,75,Ohio State
2015,Arizona,93,Texas Southern,72,Arizona
2015,Wisconsin,72,Oregon,65,Wisconsin
2015,Arkansas,78,North Carolina,87,North Carolina
2015,Xavier,75,Georgia State,67,Xavier
2015,Ohio State,58,Arizona,73,Arizona
2015,Wisconsin,79,North Carolina,72,Wisconsin
2015,Xavier,60,Arizona,68,Arizona
2015,Wisconsin,85,Arizona,78,Wisconsin
2015,Duke,81,Michigan State,61,Duke
2015,Kentucky,64,Wisconsin,71,Wisconsin
2015,Duke,68,Wisconsin,63,Duke
2014,Wichita State,64,Cal Poly,37,Wichita State
2014,Kentucky,56,Kansas State,49,Kentucky
2014,Saint Louis,83,North Carolina State,80,Saint Louis
2014,Louisville,71,Manhattan,64,Louisville
2014,Massachusetts,67,Tennessee,86,Tennessee
2014,Duke,71,Mercer,78,Mercer
2014,Texas,87,Arizona State,85,Texas
2014,Michigan,57,Wofford,40,Michigan
2014,Wichita State,76,Kentucky,78,Kentucky
2014,Saint Louis,51,Louisville,66,Louisville
2014,Tennessee,83,Mercer,63,Tennessee
2014,Texas,65,Michigan,79,Michigan
2014,Kentucky,74,Louisville,69,Kentucky
2014,Tennessee,71,Michigan,73,Michigan
2014,Kentucky,75,Michigan,72,Kentucky
2014,Florida,67,Albany (NY),55,Florida
2014,Colorado,48,Pittsburgh,77,Pittsburgh
2014,Virginia Commonwealth,75,Stephen F. Austin,77,Stephen F. Austin
2014,UCLA,76,Tulsa,59,UCLA
2014,Ohio State,59,Dayton,60,Dayton
2014,Syracuse,77,Western Michigan,53,Syracuse
2014,New Mexico,53,Stanford,58,Stanford
2014,Kansas,80,Eastern Kentucky,69,Kansas
2014,Florida,61,Pittsburgh,45,Florida
2014,Stephen F. Austin,60,UCLA,77,UCLA
2014,Dayton,55,Syracuse,53,Dayton
2014,Stanford,60,Kansas,57,Stanford
2014,Florida,79,UCLA,68,Florida
2014,Dayton,82,Stanford,72,Dayton
2014,Florida,62,Dayton,52,Florida
2014,Virginia,70,Coastal Carolina,59,Virginia
2014,Memphis,71,George Washington,66,Memphis
2014,Cincinnati,57,Harvard,61,Harvard
2014,Michigan State,93,Delaware,78,Michigan State
2014,North Carolina,79,Providence,77,North Carolina
2014,Iowa State,93,North Carolina Central,75,Iowa State
2014,Connecticut,89,Saint Joseph's,81,Connecticut
2014,Villanova,73,Milwaukee,53,Villanova
2014,Virginia,78,Memphis,60,Virginia
2014,Harvard,73,Michigan State,80,Michigan State
2014,North Carolina,83,Iowa State,85,Iowa State
2014,Connecticut,77,Villanova,65,Connecticut
2014,Virginia,59,Michigan State,61,Michigan State
2014,Iowa State,76,Connecticut,81,Connecticut
2014,Michigan State,54,Connecticut,60,Connecticut
2014,Arizona,68,Weber State,59,Arizona
2014,Gonzaga,85,Oklahoma State,77,Gonzaga
2014,Oklahoma,75,North Dakota State,80,North Dakota State
2014,San Diego State,73,New Mexico State,69,San Diego State
2014,Baylor,74,Nebraska,60,Baylor
2014,Creighton,76,Louisiana,66,Creighton
2014,Oregon,87,Brigham Young,68,Oregon
2014,Wisconsin,75,American,35,Wisconsin
2014,Arizona,84,Gonzaga,61,Arizona
2014,North Dakota State,44,San Diego State,63,San Diego State
2014,Baylor,85,Creighton,55,Baylor
2014,Oregon,77,Wisconsin,85,Wisconsin
2014,Arizona,70,San Diego State,64,Arizona
2014,Baylor,52,Wisconsin,69,Wisconsin
2014,Arizona,63,Wisconsin,64,Wisconsin
2014,Connecticut,63,Florida,53,Connecticut
2014,Wisconsin,73,Kentucky,74,Kentucky
2014,Connecticut,60,Kentucky,54,Connecticut
